local_00_0 (1): {'Casing_profile': [[285, 237], [290, 254], [360, 217], [364, 237]]}
local_12_0 (4): {'Casing_profile': [[346, 260], [344, 277], [407, 275], [405, 290]]}
local_12_0 (7): {'Casing_profile': [[376, 245], [370, 264], [460, 268], [456, 285]]}
local_12_0 (8): {'Casing_profile': [[350, 267], [346, 283], [437, 288], [435, 306]]}
local_12_0 (9): {'Casing_profile': [[380, 262], [372, 284], [470, 284], [465, 303]]}
local_12_0 (10): {'Casing_profile': [[343, 266], [341, 282], [406, 279], [404, 296]]}
local_12_0 (11): {'Casing_profile': [[407, 261], [396, 283], [491, 282], [489, 304]]}
local_12_1 (2): {'Casing_profile': [[346, 209], [340, 222], [409, 225], [406, 241]]}
local_13_0 (1): {'Casing_profile': [[351, 308], [368, 330], [594, 145], [595, 179]]}
local_13_1 (2): {'Casing_profile': [[274, 321], [286, 337], [459, 197], [471, 212]]}
local_13_1 (4): {'Casing_profile': [[316, 326], [326, 343], [499, 199], [511, 215]]}
local_14_1 (1): {'Casing_profile': [[266, 237], [257, 251], [422, 340], [420, 360]]}
local_14_1 (3): {'Casing_profile': [[257, 233], [246, 248], [418, 344], [413, 365]]}
local_14_1 (5): {'Casing_profile': [[260, 183], [243, 207], [466, 327], [462, 356]]}
local_15_1 (5): {'Casing_profile': [[342, 3], [294, 39], [595, 229], [596, 298]]}
local_15_1 (1): {'Casing_profile': [[313, 54], [270, 85], [587, 319], [562, 358]]}
local_15_0 (9): {'Casing_profile': [[255, 76], [230, 103], [588, 371], [570, 399]]}
